,test_accuracy,test_f1,test_recall,test_precision
,mean,mean,mean,mean
level_0,,,,
lr,0.629,0.433,0.567,0.35
lsvc,0.625,0.444,0.601,0.353
nn,0.749,0.022,0.012,0.215
rf,0.758,0.114,0.062,0.675
svc,0.631,0.454,0.616,0.361
xgb,0.724,0.247,0.182,0.388
xgb_cost,0.67,0.378,0.401,0.358
