,mean_test_accuracy,mean_test_f1,mean_test_recall,mean_test_precision,Model
5,0.593,0.415,0.569,0.328,lr
89,0.617,0.426,0.57,0.341,rf
62,0.727,0.232,0.166,0.39,xgb
204,0.532,0.441,0.741,0.315,xgb2
7,0.624,0.434,0.579,0.349,svc
8,0.63,0.444,0.593,0.355,lsvc
17,0.747,0.195,0.128,0.486,nn
