,mean_test_accuracy,mean_test_f1,mean_test_recall,mean_test_precision,Model
3,0.626,0.27,0.6,0.175,lr
251,0.819,0.326,0.389,0.285,rf
74,0.885,0.138,0.081,0.526,xgb
289,0.788,0.316,0.437,0.251,xgb2
7,0.744,0.304,0.496,0.221,svc
9,0.649,0.289,0.631,0.188,lsvc
17,0.885,0.02,0.01,0.233,nn
