,test_accuracy,test_f1,test_recall,test_precision
,mean,mean,mean,mean
level_0,,,,
lr,0.718,0.292,0.516,0.205
lsvc,0.646,0.278,0.602,0.181
nn,0.885,0.017,0.01,0.067
rf,0.886,0.009,0.004,0.3
svc,0.72,0.294,0.518,0.207
xgb,0.882,0.122,0.072,0.438
xgb_cost,0.866,0.194,0.145,0.301
